country,iso2c,iso3c,year,status,lastupdated,population,co2_emissions,gdp_per_cap,region,capital,longitude,latitude,income,lending
Afghanistan,AF,AFG,2001,,2024-03-28,19688632,0.0552927191691124,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2015,,2024-03-28,33753499,0.297971774718822,566.881132665072,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2000,,2024-03-28,19542982,0.0551666066110075,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2014,,2024-03-28,32716210,0.283692395910162,576.487820334782,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1998,,2024-03-28,18493132,0.0712697016384245,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2009,,2024-03-28,27385307,0.239506900543419,490.272836555321,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2013,,2024-03-28,31541209,0.29808781267706,582.103978902877,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1997,,2024-03-28,17788819,0.0755586978539722,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2004,,2024-03-28,23553551,0.0548667587320485,338.739397838443,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1999,,2024-03-28,19262847,0.0582468417051747,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2002,,2024-03-28,21000256,0.0668101379335566,344.22418262143,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2003,,2024-03-28,22645130,0.0730049683971786,347.415241061641,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2011,,2024-03-28,29249157,0.408965290862913,527.197339273798,South Asia,Kabul,69.1761,34.5228,Low income,IDA
