country,iso2c,iso3c,year,status,lastupdated,life_expectancy,access_to_electricity,co2_emissions,gdp_per_cap,region,capital,longitude,latitude,income,lending
Afghanistan,AF,AFG,2001,,2024-03-28,55.798,9.29452705383301,0.0552927191691124,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2015,,2024-03-28,62.659,71.5,0.297971774718822,566.881132665072,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2000,,2024-03-28,55.298,4.44689083099365,0.0551666066110075,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2014,,2024-03-28,62.545,89.5,0.283692395910162,576.487820334782,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1998,,2024-03-28,52.943,NA,0.0712697016384245,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2009,,2024-03-28,60.364,48.2790069580078,0.239506900543419,490.272836555321,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2013,,2024-03-28,62.417,68.0408782958984,0.29808781267706,582.103978902877,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1997,,2024-03-28,53.634,NA,0.0755586978539722,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2004,,2024-03-28,57.944,23.8141822814941,0.0548667587320485,338.739397838443,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,1999,,2024-03-28,54.846,NA,0.0582468417051747,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2002,,2024-03-28,56.454,14.1336164474487,0.0668101379335566,344.22418262143,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2003,,2024-03-28,57.344,18.9711647033691,0.0730049683971786,347.415241061641,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2011,,2024-03-28,61.419,43.2220189082037,0.408965290862913,527.197339273798,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2005,,2024-03-28,58.361,28.6696720123291,0.0803611343666108,363.541469198432,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2008,,2024-03-28,59.852,42.4,0.165573354936329,418.523172772314,South Asia,Kabul,69.1761,34.5228,Low income,IDA
